,report_date,total_homebase_enrollments
0,2023-09-01,2372.5
1,2023-08-01,2306.6666666666665
2,2023-07-01,2371.75
3,2023-06-01,2545.0
4,2023-05-01,2441.25
5,2023-04-01,2578.25
6,2023-03-01,2564.75
7,2023-02-01,2485.5
8,2023-01-01,2438.0
9,2022-12-01,2285.75
10,2022-11-01,2197.0
11,2022-10-01,2120.0
12,2022-09-01,2265.5
13,2022-08-01,2221.0
14,2022-07-01,2172.75
15,2022-06-01,2206.25
16,2022-05-01,2098.75
17,2022-04-01,2233.25
18,2022-03-01,2251.0
19,2022-02-01,2177.25
20,2022-01-01,2102.0
21,2021-12-01,1987.0
22,2021-11-01,2001.25
23,2021-10-01,2035.75
24,2021-10-01,2063.0
25,2021-09-01,2072.5
26,2021-09-01,2053.0
27,2021-08-01,2033.5
28,2021-08-01,2001.0
29,2021-07-01,1968.5
30,2021-07-01,1949.0
31,2021-06-01,1950.75
32,2021-05-01,2058.5
33,2021-04-01,2233.25
34,2021-03-01,2267.25
35,2021-02-01,2363.75
36,2021-01-01,2302.75
37,2020-12-01,2129.25
38,2020-11-01,2156.5
39,2020-10-01,2114.5
40,2020-09-01,2118.75
41,2020-08-01,2179.75
42,2020-07-01,2151.5
43,2020-06-01,2014.5
44,2020-05-01,1857.75
45,2020-04-01,1896.25
46,2020-03-01,2023.75
47,2020-02-01,2107.5
48,2020-01-01,2341.5
49,2019-12-01,2369.0
50,2019-11-01,2492.0
51,2019-10-01,2513.75
52,2019-09-01,2626.25
53,2019-08-01,2711.75
54,2019-07-01,2601.25
55,2019-06-01,2694.75
56,2019-05-01,2676.5
57,2019-04-01,2630.75
58,2019-03-01,2547.75
59,2019-02-01,2568.0
60,2019-01-01,2368.25
61,2018-12-01,2245.5
62,2018-11-01,2338.75
63,2018-10-01,2317.5
64,2018-09-01,2493.25
65,2018-08-01,2519.0
66,2018-07-01,2325.5
67,2018-06-01,2254.25
68,2018-05-01,2101.5
69,2018-04-01,2033.25
70,2018-03-01,2033.25
71,2018-02-01,2034.0
72,2018-01-01,2029.0
73,2017-12-01,2156.25
74,2017-11-01,2338.25
75,2017-10-01,2366.0
76,2017-09-01,2556.25
77,2017-08-01,2633.5
78,2017-07-01,2451.0
79,2017-06-01,2473.0
80,2017-05-01,2274.75
81,2017-04-01,2188.0
82,2017-03-01,2220.75
83,2017-02-01,2242.25
84,2017-01-01,2310.75
